Team-First
Dender, Union, Anderlecht, Antwerpen, Club brugge, Cercle brugge, Krc genk, Gent, Kv mechelen, Stvv, Standard, Westerlo ,Oh leuven, Charleroi, Kas eupen, Kv korterijk, Rwdm
Div, Date, Time, home_team, away_team, home_score, away_score, ball_possession_home_team, home_shots_on_target, away_shots_on_target, home_shots_wide_of_target, away_shots_wide_of_target, home_corners, away_corners, home_free_kicks, away_free_kicks, home_offside, away_offside, home_fouls, away_fouls, home_yellow_cards, away_yellow_cards, home_red_cards, away_red_cards, home_penalty, away_penalty, home_penalty_missed, away_penalty_missed, home_goal_denied, away_goal_denied, home_substitute, away_substitute, home_own_goal, away_own_goal, second_half_extra_time
# Div
# Date
# Time
# home_team
# away_team
# home_score
# away_score
# ball_possession_home_team
# home_shots_on_target
# away_shots_on_target
# home_shots_wide_of_target
# away_shots_wide_of_target
# home_corners
# away_corners
# home_free_kicks
# away_free_kicks
# home_offside
# away_offside
# home_fouls
# away_fouls
# home_yellow_cards
# away_yellow_cards
# home_red_cards
# away_red_cards
# home_penalty
# away_penalty
# home_penalty_missed
# away_penalty_missed
# home_goal_denied
# away_goal_denied
# home_substitute
# away_substitute
# home_own_goal (the team that get the goal is the home team)
# away_own_goal
# first_half_extra_time
# second_half_extra_time

#                                                             HY,AY,HR,AR,HP,AP,HM,AM,HD,AD,HW,AW,HO,AO,FE,SE
#                                                            , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# matchday 1
B1, 12/08/23, 16:00, 16, 8, 1, 0, 42, 8, 4, 4, 3, 7, 4, 14, 13, 2, 2, 11, 12      , 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 6
B1, 12/08/23, 18:15, 1, 12, 5, 1, 58, 6, 1, 4, 2, 0, 3, 15, 13, 3, 2, 10, 17      , 1, 4, 0, 0, 3, 0, 0, 0, 2, 0, 5, 5, 0, 0, 2, 6
B1, 13/08/23, 13:30, 9, 2, 0, 1, 63, 5, 3, 7, 7, 5, 1, 15, 12, 0, 1, 11, 14       , 4, 5, 0, 1, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 2, 7
B1, 13/08/23, 16:00, 14, 4, 0, 5, 36, 1, 7, 5, 3, 4, 6, 13, 9, 1, 0, 9, 13        , 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3, 5, 0, 0, 2, 3
B1, 13/08/23, 16:00, 5, 6, 0, 1, 42, 2, 3, 7, 4, 5, 3, 21, 9, 1, 1, 8, 20, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 1, 1, 6
B1, 13/08/23, 18:30, 13, 10, 1, 1, 56, 4, 2, 10, 2, 13, 2, 10, 13, 2, 0, 11, 12, 3, 2, 1, 1, 1, 0, 0, 0, 1, 0, 2, 3, 0, 0, 2, 6
B1, 13/08/23, 19:15, 11, 7, 1, 3, 42, 5, 9, 5, 6, 3, 9, 12, 7, 1, 0, 10, 14, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 5, 4, 0, 0, 4, 8

# matchday 4
B1, 18/08/23, 20:45, 12, 3, 1, 1, 40, 2, 4, 3, 5, 7, 7, 12, 19, 2, 3, 17, 10, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 3, 7
B1, 19/08/23, 16:00, 10, 5, 0, 1, 61, 3, 4, 4, 9, 2, 2, 14, 14, 4, 3, 10, 11, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 5, 4, 0, 0, 6, 5
B1, 19/08/23, 20:45, 8, 1, 4, 0, 45, 7, 1, 3, 8, 4, 6, 10, 13, 4, 0, 9, 10, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 4, 4, 0, 0, 3, 5
B1, 20/08/23, 13:30, 2, 11, 2, 1, 52, 7, 3, 11, 8, 6, 2, 14, 9, 2, 1, 7, 13, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 5, 6
B1, 20/08/23, 16:00, 6, 13, 0, 0, 53, 7, 3, 7, 3, 11, 4, 17, 11, 0, 1, 11, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 5, 4
